Street#,Dir,Street,Type_,Post Dir,Loc,Zip,Council,Neighborhood,Referred,Down & Clear
2327,,Greenwood,Ave,,Entire,,,,,8/10/2007
2505,,Greenwood,Ave,,Entire,,,,,8/14/2007
3417,,Greenwood,Ave,,Entire,,,,,8/15/2007
3524,,Greenwood,Ave,,Entire,,,,,8/22/2007
3534,,Greenwood,Ave,,Entire,,,,,8/22/2007
2021,W,Market,St,,Entire,,,,,8/22/2007
3906,,Greenwood,Ave,,Entire,,,,,8/29/2007
1912,,Griffiths,Ave,,Entire,,,,,9/1/2007
2229,,Griffiths,Ave,,Entire,,,,,9/5/2007
2410,,Griffiths,Ave,,Entire,,,,,9/6/2007
2821,,Griffiths ,Ave,,Entire,,,,,9/20/2007
2828,,Griffiths ,Ave,,Entire,,,,,9/25/2007
1518,,Hale,Ave,,Entire,,,,,9/25/2007
1819,,Osage,Ave,,Entire,,,,,9/25/2007
1630,,Hale,Ave,,Entire,,,,,9/27/2007
1826,,Hale,Ave,,Entire,,,,,10/1/2007
1829,,Hale,Ave,,Entire,,,,,10/1/2007
3511,,Hale,Ave,,Entire,,,,,10/9/2007
928,S,Hancock,St,,Entire,,,,,10/16/2007
1426,,Hancock,St,,Entire,,,,,10/18/2007
1694,,Harold,Ave,,Entire,,,,,10/25/2007
11209,,Harrison,Ln,,Entire,,,,,10/30/2007
1530,,Hemlock,St,,Entire,,,,,10/30/2007
1921,W,Market,St,,Rear,40203,,,,10/30/2007
1542,,Hemlock,St,,Entire,,,,,11/1/2007
722,,Henry Firpo,St,,Entire,,,,,11/6/2007
3229,,Herman,St,,Entire,,,,,11/12/2007
1210,,Herr,Ave,,Entire,,,,,11/16/2007
13007,,Hidden Springs,Rd,,Entire,,,,,11/16/2007
637,E,Hill,St,,Entire,,,,,11/20/2007
709,E,Hill,St,,Entire,,,,,11/28/2007
2327,W,Hill,St,,Rear,,,,,11/28/2007
1602,W,Oak,St,,Entire,,,,,11/28/2007
1604,W,Oak,St,,Entire,,,,,11/28/2007
125,,Hill Bend,Pl,,Entire,,,,,12/5/2007
13327,,Horncastle,Way,,Entire,,,,,12/12/2007
2300,,Howard,St,,Entire,,,,,12/12/2007
2309,,Howard,St,,Entire,,,,,12/12/2007
2012,,Penile,Rd,,Entire,,,,,12/12/2007
2311,,Howard,St,,Entire,,,,,12/17/2007
326,N,24Th,St,,Entire,,,,,1/2/2008
328,N,24Th,St,,Entire,,,,,1/2/2008
432,N,42nd,St,,Entire,,,,,1/2/2008
2506,,Howard,St,,Entire,,,,,1/2/2008
2715,,Howard,St,,Entire,,,,,1/2/2008
17016,,Abbotts Beach,Rd,,Entire,,,,,1/7/2008
307,N,38th,St,,Entire,,,,,1/8/2008
5300,E,Indian,Trl,,Entire,,,,,1/8/2008
1221,S,Brook,St,,Entire,,,,,1/22/2008
5204,,Cedrus,Cir,,Entire,,,,,1/25/2008
1715,,Garland,Ave,,Entire,,,,,1/25/2008
2234,,Garland,Ave,,Entire,,,,,1/25/2008
729,E,Jacob,St,,Entire,,,,,1/25/2008
2008,W,Jefferson,St,,Rear,,,,,1/25/2008
1212,,Fischer ,Ave,,Rear,,,,,1/30/2008
2307,W,Jefferson,St,,Entire,,,,,1/30/2008
821,,Dearborn,Ave,,Entire,,,,,2/1/2008
2510,W,Jefferson,St,,Rear,,,,,2/1/2008
313,N,21st,St,,Entire,,,,,2/13/2008
1613,,Dumesnil,St,,Entire,,,,,2/13/2008
2604,W,Jefferson,St,,Rear,,,,,2/13/2008
2714,W,Jefferson,St,,Entire,,,,,2/18/2008
2034,,Portland,Ave,,Entire,,,,,2/18/2008
2034,,Portland ,Ave,,Entire,,,,,2/18/2008
3230,W,Jefferson,St,,Rear,,,,,2/21/2008
3519,,Greenwood,Ave,,Entire,,,,,2/26/2008
3715,,Greenwood,Ave,,Entire,,,,,2/26/2008
1500,W,Jefferson ,St,,Entire,,,,,2/26/2008
10710,,Jefferson Hill,Rd,,Entire,,,,,2/26/2008
1764,W,Burnett,Ave,,Entire,,,,,2/28/2008
5608,,Johnsontown,Rd,,Entire,,,,,2/28/2008
632,,Jordan,Ave,,Entire,,,,,3/3/2008
610,S,20th,St,,Entire,,,,,3/7/2008
634,,Jordan,Ave,,Entire,,,,,3/7/2008
4200,,Bubbling Over,Dr,,Entire,,,,,3/13/2008
1620,W,Kentucky,St,,Entire,,,,,3/13/2008
356,N,27th,St,,Entire,,,,,3/17/2008
2709,,Chickasaw,Ave,,Entire,,,,,3/20/2008
1716,W,Kentucky,St,,Entire,,,,,3/20/2008
1741,W,Kentucky,St,,Entire,,,,,4/7/2008
2213,W,Kentucky,St,,Rear,,,,,4/7/2008
1728,,Prentice,St,,Entire,,,,,4/7/2008
736,S,16th,St,,Entire,,,,,4/8/2008
1025,,Dixie ,Hwy,,Entire,,,,,4/8/2008
2301,W,Kentucky,St,,Entire,,,,,4/8/2008
9308,,Smyrna,Pkwy,,Entire,,,,,4/8/2008
1039,,Dixon,Ave,,Entire,,,,,4/11/2008
2613,W,Kentucky,St,,Entire,,,,,4/14/2008
2611,W,Kentucky,St,,Entire,,,,,4/17/2008
2706,W,Kentucky,St,,Entire,,,,,4/17/2008
221,S,32nd,St,,Entire,,,,,4/18/2008
2910,W,Kentucky,St,,Entire,,,,,4/21/2008
615,N,29th,St,,Entire,,,,,4/23/2008
2915,W,Kentucky,St,,Entire,,,,,4/23/2008
2218,,Duncan,St,,Entire,,,,,5/23/2008
629,N,28th,St,,Entire,,,,,6/20/2008
